current, inductance
119.05,	-44.22
119.32,	-44.40
119.60,	-44.57
119.87,	-44.75
120.14,	-44.93
120.41,	-45.11
120.69,	-45.29
120.96,	-45.47
121.23,	-45.65
121.51,	-45.83
121.78,	-46.01
122.05,	-46.18
122.32,	-46.36
122.60,	-46.54
122.87,	-46.72
123.14,	-46.90
123.41,	-47.08
123.69,	-47.26
123.96,	-47.44
124.23,	-47.62
124.50,	-47.80
124.78,	-47.98
125.05,	-48.16
125.32,	-48.35
125.59,	-48.53
125.87,	-48.71
126.14,	-48.89
126.41,	-49.07
126.69,	-49.25
126.96,	-49.43
127.23,	-49.61
127.50,	-49.79
127.78,	-49.97
128.05,	-50.16
128.32,	-50.34
128.59,	-50.52
128.87,	-50.70
129.14,	-50.88
129.41,	-51.06
129.68,	-51.25
129.96,	-51.43
130.23,	-51.61
130.50,	-51.79
130.77,	-51.98
131.05,	-52.16
131.32,	-52.34
131.59,	-52.52
131.87,	-52.71
132.14,	-52.89
132.41,	-53.07
132.68,	-53.25
132.96,	-53.44
133.23,	-53.62
133.50,	-53.80
133.77,	-53.99
134.05,	-54.17
134.32,	-54.35
134.59,	-54.54
134.86,	-54.72
135.14,	-54.91
135.41,	-55.09
135.68,	-55.27
135.95,	-55.46
136.23,	-55.64
136.50,	-55.83
136.77,	-56.01
137.05,	-56.19
137.32,	-56.38
137.59,	-56.56
137.86,	-56.75
138.14,	-56.93
138.41,	-57.12
138.68,	-57.30
138.95,	-57.49
139.23,	-57.67
139.50,	-57.86
139.77,	-58.04
140.04,	-58.23
140.32,	-58.41
140.59,	-58.60
140.86,	-58.79
141.14,	-58.97
141.41,	-59.16
141.68,	-59.34
141.95,	-59.53
142.23,	-59.71
142.50,	-59.90
142.77,	-60.09
143.04,	-60.27
143.32,	-60.46
143.59,	-60.64
143.86,	-60.83
144.13,	-61.02
144.41,	-61.20
144.68,	-61.39
144.95,	-61.58
145.22,	-61.76
145.50,	-61.95
145.77,	-62.14
146.04,	-62.32
146.32,	-62.51
146.59,	-62.70
146.86,	-62.88
147.13,	-63.07
147.41,	-63.26
147.68,	-63.44
147.95,	-63.63
148.22,	-63.82
148.50,	-64.01
148.77,	-64.19
149.04,	-64.38
149.31,	-64.57
149.59,	-64.75
149.86,	-64.94
150.13,	-65.13
150.40,	-65.32
150.68,	-65.50
150.95,	-65.69
151.22,	-65.88
151.50,	-66.07
151.77,	-66.26
152.04,	-66.44
152.31,	-66.63
152.59,	-66.82
152.86,	-67.01
153.13,	-67.19
153.40,	-67.38
153.68,	-67.57
153.95,	-67.76
154.22,	-67.95
154.49,	-68.14
154.77,	-68.32
155.04,	-68.51
155.31,	-68.70
