Time, B_0_0_RRR_100, B_3_0_RRR_100, B_0_0_RRR_200, B_3_0_RRR_200
5.400000000000000000e+01,8.198266204361512324e-10,9.001786924515298057e-10,7.173195035647952404e-10,7.998287493098068376e-10
5.500000000000000000e+01,8.607455541301998369e-10,9.403221803491416741e-10,7.577433566690378552e-10,8.393622223547800785e-10
5.600000000000000000e+01,9.028869380940802137e-10,9.817092039289799734e-10,7.994211269797044532e-10,8.801769875585316369e-10
5.700000000000000000e+01,9.462606948216827025e-10,1.024349338927530186e-09,8.423604098749687978e-10,9.222799742571181248e-10
5.800000000000000000e+01,9.908739155762068583e-10,1.068249354812043088e-09,8.865661662864395064e-10,9.656755145762482929e-10
5.900000000000000000e+01,1.036730230476384055e-09,1.113412586632389262e-09,9.320400792190339309e-10,1.010364702764912680e-09
6.000000000000000000e+01,1.083829436959778057e-09,1.159838560151690857e-09,9.787801660404844529e-10,1.056345004189407210e-09
6.100000000000000000e+01,1.132167331457903272e-09,1.207522817552030665e-09,1.026780593596976062e-09,1.103610064003062960e-09
6.200000000000000000e+01,1.181735695655211054e-09,1.256456896768792506e-09,1.076031648761491383e-09,1.152149670089466589e-09
6.300000000000000000e+01,1.232522396740827467e-09,1.306628424937430176e-09,1.126519824417941851e-09,1.201949831534667610e-09
6.400000000000000000e+01,1.284511569023044179e-09,1.358021293951296811e-09,1.178227988452967232e-09,1.252992940918459268e-09
6.500000000000000000e+01,1.337683851382533198e-09,1.410615892922324391e-09,1.231135610209331120e-09,1.305257995229181722e-09
6.600000000000000000e+01,1.392016661001198659e-09,1.464389378088566007e-09,1.285219024700930919e-09,1.358720855812121192e-09
6.700000000000000000e+01,1.447484488603063166e-09,1.519315965380587452e-09,1.340451719641281618e-09,1.413354532365597587e-09
6.800000000000000000e+01,1.504059204199165865e-09,1.575367234537801766e-09,1.396804634084326203e-09,1.469129479662732028e-09
6.900000000000000000e+01,1.561710365208374706e-09,1.632512436507033711e-09,1.454246460368565797e-09,1.526013898529400245e-09
7.000000000000000000e+01,1.620405521003804860e-09,1.690718798019526292e-09,1.512743943255059795e-09,1.583974034796721341e-09
7.100000000000000000e+01,1.680110509566693946e-09,1.749951818876499078e-09,1.572262171806654540e-09,1.642974471608475471e-09
7.200000000000000000e+01,1.740789743147571147e-09,1.810175558702218056e-09,1.632764860797696373e-09,1.702978411720434341e-09
7.300000000000000000e+01,1.802406480743280115e-09,1.871352910847875526e-09,1.694214619373598031e-09,1.763947947377917759e-09
7.400000000000000000e+01,1.864923085879220405e-09,1.933445861827865193e-09,1.756573205378624113e-09,1.825844316077439210e-09
7.500000000000000000e+01,1.928301268700236753e-09,1.996415735201677122e-09,1.819801764299275416e-09,1.888628141067377637e-09
7.600000000000000000e+01,1.992502311766101381e-09,2.060223419223697695e-09,1.883861052175152143e-09,1.952259655865530620e-09
7.700000000000000000e+01,2.057487279251356027e-09,2.124829577902039786e-09,1.948711642142410453e-09,2.016698912400990761e-09
7.800000000000000000e+01,2.123217209487892705e-09,2.190194845359283248e-09,2.014314114520819311e-09,2.081905972647716154e-09
7.900000000000000000e+01,2.189653290978563098e-09,2.256280003589241718e-09,2.080629230550903283e-09,2.147841083824492053e-09
8.000000000000000000e+01,2.256757022163102461e-09,2.323046143866357912e-09,2.147618090044875835e-09,2.214464837402937297e-09
8.100000000000000000e+01,2.324490355341613323e-09,2.390454812196168532e-09,2.215242273342182602e-09,2.281738312300229783e-09
8.200000000000000000e+01,2.392815825261589590e-09,2.458468139302398964e-09,2.283463968063595824e-09,2.349623202742642417e-09
8.300000000000000000e+01,2.461696662955753625e-09,2.527048955732650695e-09,2.352246081240861423e-09,2.418081931373953308e-09
8.400000000000000000e+01,2.531096895482799267e-09,2.596160892733491428e-09,2.421552337465059372e-09,2.487077748252693622e-09
8.500000000000000000e+01,2.600981432273396941e-09,2.665768469599090782e-09,2.491347363748110773e-09,2.556574816436302392e-09
8.600000000000000000e+01,2.671316138821323053e-09,2.735837168237387243e-09,2.561596761830144928e-09,2.626538284890532180e-09
8.700000000000000000e+01,2.742067898485507133e-09,2.806333495725354807e-09,2.632267168691988042e-09,2.696934349490399515e-09
8.800000000000000000e+01,2.813204663184406553e-09,2.877225035641737379e-09,2.703326306048129644e-09,2.767730302895975463e-09
8.900000000000000000e+01,2.884695493770476325e-09,2.948480488972707076e-09,2.774743019602307781e-09,2.838894574093567747e-09
9.000000000000000000e+01,2.956510590870537802e-09,3.020069705384362421e-09,2.846487308846219500e-09,2.910396758391433397e-09
9.100000000000000000e+01,3.028621316968701435e-09,3.091963705646973116e-09,2.918530348173037572e-09,2.982207638650284447e-09
9.200000000000000000e+01,3.101000210492845219e-09,3.164134695980202656e-09,2.990844500062048235e-09,3.054299198513279585e-09
9.300000000000000000e+01,3.173620992644750892e-09,3.236556075067428691e-09,3.063403321070061409e-09,3.126644628379195856e-09
9.400000000000000000e+01,3.246458567688320957e-09,3.309202434461313411e-09,3.136181561339848690e-09,3.199218324836669802e-09
9.500000000000000000e+01,3.319489017381086064e-09,3.382049553073171791e-09,3.209155158306850268e-09,3.271995884247897240e-09
9.600000000000000000e+01,3.392689590201881938e-09,3.455074386405942895e-09,3.282301225253321690e-09,3.344954091137617706e-09
9.700000000000000000e+01,3.466038685993101453e-09,3.528255051155608589e-09,3.355598035324799816e-09,3.418070902008394365e-09
9.800000000000000000e+01,3.539515836599868583e-09,3.601570805769402637e-09,3.429025001587950777e-09,3.491325425166863803e-09
9.900000000000000000e+01,3.613101683051410034e-09,3.675002027511575991e-09,3.502562653671966375e-09,3.564697897108226682e-09
1.000000000000000000e+02,3.686777949792462999e-09,3.748530186549603326e-09,3.576192611498446032e-09,3.638169655968537791e-09
1.010000000000000000e+02,3.760527416435084953e-09,3.822137817535760304e-09,3.649897556567410012e-09,3.711723112516584185e-09
1.020000000000000000e+02,3.834333887464243600e-09,3.895808489121611227e-09,3.723661201230274319e-09,3.785341719119891295e-09
1.030000000000000000e+02,3.908182160294349892e-09,3.969526771806286516e-09,3.797468256344576606e-09,3.859009937082947607e-09
1.040000000000000000e+02,3.982057992038724903e-09,4.043278204483895843e-09,3.871304397670225763e-09,3.932713202720330626e-09
1.050000000000000000e+02,4.055948065320185695e-09,4.117049260021233289e-09,3.945156231333385793e-09,4.006437892493409792e-09
1.060000000000000000e+02,4.129839953418501584e-09,4.190827310164179949e-09,4.019011258651843242e-09,4.080171287506713999e-09
1.070000000000000000e+02,4.203722085019802827e-09,4.264600590040216569e-09,4.092857840585125400e-09,4.153901537629176837e-09
1.080000000000000000e+02,4.277583708803931381e-09,4.338358162495101367e-09,4.166685162043712409e-09,4.227617625476278183e-09
1.090000000000000000e+02,4.351414858078510835e-09,4.412089882474266055e-09,4.240483196264582643e-09,4.301309330461764913e-09
1.100000000000000000e+02,4.425206315643046990e-09,4.485786361633821496e-09,4.314242669434940399e-09,4.374967193102000020e-09
1.110000000000000000e+02,4.498949579042744668e-09,4.559438933342196087e-09,4.387955025722521047e-09,4.448582479732375889e-09
1.120000000000000000e+02,4.572636826349882930e-09,4.633039618211394725e-09,4.461612392849061864e-09,4.522147147773225307e-09
1.130000000000000000e+02,4.646260882590517746e-09,4.706581090276649926e-09,4.535207548323563538e-09,4.595653811662531041e-09
1.140000000000000000e+02,4.719815186915877993e-09,4.780056643924648225e-09,4.608733886433661067e-09,4.669095709554339957e-09
1.150000000000000000e+02,4.793293760601074409e-09,4.853460161653635579e-09,4.682185386076751712e-09,4.742466670864934703e-09
1.160000000000000000e+02,4.866691175938595467e-09,4.926786082733453918e-09,4.755556579497417603e-09,4.815761084733643809e-09
