Time, diff_strand
9.599999999999997868e+00, 9.664656121435488689e-02
9.799999999999997158e+00, 9.357864968672481576e-02
9.999999999999996447e+00, 9.060870732183702592e-02
1.019999999999999574e+01, 8.773392411889094356e-02
1.039999999999999503e+01, 8.495150776498436307e-02
1.059999999999999432e+01, 8.225869456712943395e-02
1.079999999999999361e+01, 7.965275865729164184e-02
1.099999999999999289e+01, 7.713101964520194254e-02
1.119999999999999218e+01, 7.469084888341165351e-02
1.139999999999999147e+01, 7.232967449803538729e-02
1.159999999999999076e+01, 7.004498532729999671e-02
1.179999999999999005e+01, 6.783433389868499808e-02
1.199999999999998934e+01, 6.569533856438793118e-02
1.219999999999998863e+01, 6.362568490418457623e-02
1.239999999999998792e+01, 6.162312649464039838e-02
1.259999999999998721e+01, 5.968548513409127620e-02
1.279999999999998650e+01, 5.781065060391757382e-02
1.299999999999998579e+01, 5.599658003837589687e-02
1.319999999999998508e+01, 5.424129696760453950e-02
1.339999999999998437e+01, 5.254289009143746358e-02
1.359999999999998366e+01, 5.089951183519551142e-02
1.379999999999998295e+01, 4.930937673277170641e-02
1.399999999999998224e+01, 4.777075967695901260e-02
1.419999999999998153e+01, 4.628199407208406779e-02
1.439999999999998082e+01, 4.484146991959558903e-02
1.459999999999998010e+01, 4.344763186320851900e-02
1.479999999999997939e+01, 4.209897721657728659e-02
1.499999999999997868e+01, 4.079405399315877423e-02
1.519999999999997797e+01, 3.953145895494521167e-02
1.539999999999997726e+01, 3.830983569405128908e-02
1.559999999999997655e+01, 3.712787275871549247e-02
1.579999999999997584e+01, 3.598430183309681007e-02
1.599999999999997513e+01, 3.487789597828667293e-02
1.619999999999997442e+01, 3.380746794021981250e-02
1.639999999999997371e+01, 3.277186852861393301e-02
1.659999999999997300e+01, 3.176998506969213459e-02
1.679999999999997229e+01, 3.080073993423772249e-02
1.699999999999997158e+01, 2.986308914148562421e-02
1.719999999999997087e+01, 2.895602103842698921e-02
1.739999999999997016e+01, 2.807855505335038471e-02
1.759999999999996945e+01, 2.722974052176112270e-02
1.779999999999996874e+01, 2.640865558230160934e-02
1.799999999999996803e+01, 2.561440613983442111e-02
1.819999999999996732e+01, 2.484612489251486478e-02
1.839999999999996660e+01, 2.410297041942902757e-02
1.859999999999996589e+01, 2.338412632516737033e-02
1.879999999999996518e+01, 2.268880043761582754e-02
1.899999999999996447e+01, 2.201622405518004200e-02
1.919999999999996376e+01, 2.136565123967094221e-02
1.939999999999996305e+01, 2.073635815112490066e-02
1.959999999999996234e+01, 2.012764242092397043e-02
1.979999999999996163e+01, 1.953882255970881138e-02
1.999999999999996092e+01, 1.896923739672755002e-02
2.019999999999996021e+01, 1.841824554743316800e-02
2.039999999999995950e+01, 1.788522490634435191e-02
2.059999999999995879e+01, 1.736957216237301760e-02
2.079999999999995808e+01, 1.687070233405020894e-02
2.099999999999995737e+01, 1.638804832227280101e-02
2.119999999999995666e+01, 1.592106047843483765e-02
2.139999999999995595e+01, 1.546920618599872434e-02
2.159999999999995524e+01, 1.503196945377913325e-02
2.179999999999995453e+01, 1.460885051940864245e-02
2.199999999999995381e+01, 1.419936546164920002e-02
2.219999999999995310e+01, 1.380304582038903785e-02
2.239999999999995239e+01, 1.341943822333901797e-02
2.259999999999995168e+01, 1.304810401860042289e-02
2.279999999999995097e+01, 1.268861891241432512e-02
2.299999999999995026e+01, 1.234057261154955162e-02
2.319999999999994955e+01, 1.200356846989100897e-02
2.339999999999994884e+01, 1.167722313890877037e-02
2.359999999999994813e+01, 1.136116622178245592e-02
2.379999999999994742e+01, 1.105503993103378740e-02
2.399999999999994671e+01, 1.075849874960337592e-02
2.419999999999994600e+01, 1.047120909535982809e-02
2.439999999999994529e+01, 1.019284898909279639e-02
2.459999999999994458e+01, 9.923107726075039089e-03
2.479999999999994387e+01, 9.661685551324232513e-03
2.499999999999994316e+01, 9.408293338715028112e-03
2.519999999999994245e+01, 9.162652274118674237e-03
2.539999999999994174e+01, 8.924493542759311809e-03
2.559999999999994102e+01, 8.693558020983637238e-03
2.579999999999994031e+01, 8.469595972653625945e-03
2.599999999999993960e+01, 8.252366750360132230e-03
2.619999999999993889e+01, 8.041638501659372287e-03
2.639999999999993818e+01, 7.837187880528225653e-03
2.659999999999993747e+01, 7.638799764221058768e-03
2.679999999999993676e+01, 7.446266975700110979e-03
2.699999999999993605e+01, 7.259390011799687209e-03
2.719999999999993534e+01, 7.077976777271723259e-03
2.739999999999993463e+01, 6.901842324837045330e-03
2.759999999999993392e+01, 6.730808601358849452e-03
2.779999999999993321e+01, 6.564704200233324044e-03
2.799999999999993250e+01, 6.403364120074679297e-03
2.819999999999993179e+01, 6.246629529757785453e-03
2.839999999999993108e+01, 6.097128563793414134e-03
2.859999999999993037e+01, 5.962039272078399448e-03
2.879999999999992966e+01, 5.830601036293097360e-03
2.899999999999992895e+01, 5.702695062435280716e-03
2.919999999999992824e+01, 5.578207085944836274e-03
2.939999999999992752e+01, 5.457027189384737638e-03
2.959999999999992681e+01, 5.339049626698100758e-03
2.979999999999992610e+01, 5.224172653889683736e-03
2.999999999999992539e+01, 5.112298365974687550e-03
3.019999999999992468e+01, 5.003332540036431464e-03
3.039999999999992397e+01, 4.897184484237714769e-03
3.059999999999992326e+01, 4.793766892628300788e-03
3.079999999999992255e+01, 4.692995705590651163e-03
3.099999999999992184e+01, 4.594789975766196306e-03
3.119999999999992113e+01, 4.499071739302724394e-03
3.139999999999992042e+01, 4.405765892267691011e-03
3.159999999999991971e+01, 4.314800072066155706e-03
3.179999999999991900e+01, 4.226104543707087657e-03
3.199999999999991829e+01, 4.139612090757862142e-03
3.219999999999991758e+01, 4.055257910830533004e-03
3.239999999999992042e+01, 3.972979515439266536e-03
3.259999999999992326e+01, 3.892716634069870885e-03
3.279999999999992610e+01, 3.814411122304048590e-03
3.299999999999992895e+01, 3.738006873835415366e-03
3.319999999999993179e+01, 3.663449736221969719e-03
3.339999999999993463e+01, 3.590687430213984187e-03
3.359999999999993747e+01, 3.519669472503227092e-03
3.379999999999994031e+01, 3.450347101740502184e-03
3.399999999999994316e+01, 3.382673207674495326e-03
3.419999999999994600e+01, 3.316602263270389522e-03
3.439999999999994884e+01, 3.252090259678563824e-03
3.459999999999995168e+01, 3.189094643929974836e-03
3.479999999999995453e+01, 3.127574259248833491e-03
3.499999999999995737e+01, 3.067489287887278752e-03
