time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.3825,	0.15250,	86.0000,	3.9673E-03, 	3.4119E-01, 	16.875
0.3850,	0.15500,	85.8630,	4.2680E-03, 	3.6646E-01, 	16.928
0.3875,	0.15750,	85.7262,	4.5717E-03, 	3.9191E-01, 	16.978
0.3900,	0.16000,	85.6035,	4.8806E-03, 	4.1780E-01, 	17.027
0.3925,	0.16250,	85.4673,	5.2233E-03, 	4.4642E-01, 	17.074
0.3950,	0.16500,	85.3314,	5.6293E-03, 	4.8035E-01, 	17.119
0.3975,	0.16750,	85.1958,	5.9048E-03, 	5.0307E-01, 	17.162
0.4000,	0.17000,	85.0604,	6.3567E-03, 	5.4071E-01, 	17.204
0.4025,	0.17250,	84.9254,	6.7306E-03, 	5.7160E-01, 	17.244
0.4050,	0.17500,	84.7906,	7.2311E-03, 	6.1313E-01, 	17.283
0.4075,	0.17750,	84.6561,	7.6491E-03, 	6.4754E-01, 	17.322
0.4100,	0.18000,	84.5218,	8.1400E-03, 	6.8800E-01, 	17.363
0.4125,	0.18250,	84.3879,	8.5679E-03, 	7.2303E-01, 	17.425
0.4150,	0.18500,	84.2542,	9.0865E-03, 	7.6557E-01, 	17.499
0.4175,	0.18750,	84.1207,	9.5561E-03, 	8.0387E-01, 	17.585
0.4200,	0.19000,	83.9875,	1.0198E-02, 	8.5649E-01, 	17.691
0.4225,	0.19250,	83.8546,	1.0768E-02, 	9.0298E-01, 	17.801
0.4250,	0.19500,	83.7220,	1.1349E-02, 	9.5017E-01, 	17.912
0.4275,	0.19750,	83.5896,	1.1968E-02, 	1.0004E+00, 	18.024
0.4300,	0.20000,	83.4574,	1.2616E-02, 	1.0529E+00, 	18.135
0.4325,	0.20250,	83.3255,	1.3355E-02, 	1.1128E+00, 	18.246
0.4350,	0.20500,	83.1939,	1.4053E-02, 	1.1691E+00, 	18.356
0.4375,	0.20750,	83.0625,	1.4749E-02, 	1.2251E+00, 	18.466
0.4400,	0.21000,	82.9444,	1.5500E-02, 	1.2856E+00, 	18.577
0.4425,	0.21250,	82.8135,	1.6280E-02, 	1.3482E+00, 	18.688
0.4450,	0.21500,	82.6827,	1.7126E-02, 	1.4160E+00, 	18.800
0.4475,	0.21750,	82.5523,	1.7955E-02, 	1.4822E+00, 	18.913
0.4500,	0.22000,	82.4220,	1.8821E-02, 	1.5512E+00, 	19.028
0.4525,	0.22250,	82.2920,	1.9611E-02, 	1.6138E+00, 	19.144
0.4550,	0.22500,	82.1622,	2.0590E-02, 	1.6917E+00, 	19.261
0.4575,	0.22750,	82.0326,	2.1658E-02, 	1.7766E+00, 	19.380
0.4600,	0.23000,	81.9032,	2.2612E-02, 	1.8520E+00, 	19.499
0.4625,	0.23250,	81.7741,	2.3675E-02, 	1.9360E+00, 	19.620
0.4650,	0.23500,	81.6451,	2.4667E-02, 	2.0140E+00, 	19.741
0.4675,	0.23750,	81.5164,	2.5765E-02, 	2.1002E+00, 	19.862
0.4700,	0.24000,	81.3879,	2.6776E-02, 	2.1793E+00, 	19.984
0.4725,	0.24250,	81.2596,	2.7902E-02, 	2.2673E+00, 	20.107
0.4750,	0.24500,	81.1315,	2.9032E-02, 	2.3554E+00, 	20.229
0.4775,	0.24750,	81.0036,	3.0177E-02, 	2.4444E+00, 	20.351
0.4800,	0.25000,	80.8759,	3.1471E-02, 	2.5453E+00, 	20.473
0.4825,	0.25250,	80.7484,	3.2772E-02, 	2.6463E+00, 	20.595
0.4850,	0.25500,	80.6211,	3.4097E-02, 	2.7489E+00, 	20.716
0.4875,	0.25750,	80.4940,	3.5274E-02, 	2.8393E+00, 	20.836
0.4900,	0.26000,	80.3798,	3.6707E-02, 	2.9505E+00, 	20.956
