METERS,	T_init,	case1,	case2,	case3
782.17,   	4.300,	33.992, 	30.400, 	27.376
782.99,   	4.300,	33.319, 	30.074, 	27.552
783.77,   	4.300,	34.601, 	31.006, 	27.900
784.57,   	4.300,	34.966, 	31.228, 	28.006
785.37,   	4.300,	34.017, 	30.755, 	28.230
786.15,   	4.300,	35.030, 	31.570, 	28.651
786.97,   	4.300,	36.232, 	32.394, 	29.016
787.75,   	4.300,	34.970, 	31.657, 	29.047
788.55,   	4.300,	35.479, 	32.181, 	29.529
789.35,   	4.300,	37.150, 	33.322, 	29.903
790.13,   	4.300,	36.145, 	32.741, 	29.951
790.95,   	4.300,	36.002, 	32.843, 	30.430
791.73,   	4.300,	37.923, 	34.176, 	30.811
792.53,   	4.300,	37.536, 	33.961, 	30.861
793.33,   	4.300,	36.692, 	33.607, 	31.303
794.11,   	4.300,	38.533, 	34.931, 	31.732
794.91,   	4.300,	38.775, 	35.052, 	31.709
795.71,   	4.300,	37.531, 	34.473, 	32.125
796.49,   	4.300,	38.930, 	35.528, 	32.598
797.31,   	4.300,	40.191, 	36.310, 	32.724
798.09,   	4.300,	38.570, 	35.468, 	32.891
798.89,   	4.300,	39.072, 	35.902, 	33.338
799.69,   	4.300,	40.911, 	37.026, 	33.397
800.48,   	4.300,	39.731, 	36.491, 	33.553
801.29,   	4.300,	39.160, 	36.181, 	33.880
802.08,   	4.300,	41.274, 	37.487, 	33.962
802.88,   	4.300,	40.931, 	37.392, 	34.011
803.68,   	4.300,	39.452, 	36.564, 	34.273
804.46,   	4.300,	41.290, 	37.690, 	34.413
805.28,   	4.300,	41.825, 	37.978, 	34.304
806.06,   	4.300,	39.944, 	37.060, 	34.567
806.86,   	4.300,	40.876, 	37.570, 	34.730
807.66,   	4.300,	42.293, 	38.312, 	34.534
808.44,   	4.300,	40.610, 	37.610, 	34.766
809.24,   	4.300,	40.475, 	37.379, 	34.850
