time, 	time_delayed,	Current,	Resistance,	V_res, Hot_spot
0.3550, 	0.0850, 	86.0000,	0.00119,    0.10257,	15.71981
0.3575, 	0.0875, 	86.0000,	0.00119,    0.10258,	15.78907
0.3600, 	0.0900, 	86.0000,	0.00121,    0.10388,	15.85649
0.3625, 	0.0925, 	86.0000,	0.00122,    0.10518,	15.92209
0.3650, 	0.0950, 	86.0000,	0.00122,    0.10519,	15.98591
0.3675, 	0.0975, 	86.0000,	0.00124,    0.10649,	16.04800
0.3700, 	0.1000, 	86.0000,	0.00124,    0.10650,	16.10841
0.3725, 	0.1025, 	86.0000,	0.00125,    0.10781,	16.16718
0.3750, 	0.1050, 	86.0000,	0.00125,    0.10782,	16.22438
0.3775, 	0.1075, 	86.0000,	0.00134,    0.11507,	16.28005
0.3800, 	0.1100, 	86.0000,	0.00135,    0.11640,	16.33426
0.3825, 	0.1125, 	86.0000,	0.00144,    0.12353,	16.38706
0.3850, 	0.1150, 	86.0000,	0.00153,    0.13185,	16.43852
0.3875, 	0.1175, 	86.0000,	0.00157,    0.13505,	16.48867
0.3900, 	0.1200, 	86.0000,	0.00176,    0.15115,	16.53759
0.3925, 	0.1225, 	86.0000,	0.00189,    0.16212,	16.58530
0.3950, 	0.1250, 	86.0000,	0.00195,    0.16796,	16.63185
0.3975, 	0.1275, 	86.0000,	0.00207,    0.17841,	16.67731
0.4000, 	0.1300, 	86.0000,	0.00220,    0.18949,	16.72171
0.4025, 	0.1325, 	86.0000,	0.00234,    0.20106,	16.76510
0.4050, 	0.1350, 	86.0000,	0.00245,    0.21086,	16.80758
0.4075, 	0.1375, 	86.0000,	0.00265,    0.22762,	16.84930
0.4100, 	0.1400, 	86.0000,	0.00286,    0.24572,	16.89050
0.4125, 	0.1425, 	86.0000,	0.00303,    0.26084,	16.93165
0.4150, 	0.1450, 	86.0000,	0.00321,    0.27633,	16.97380
0.4175, 	0.1475, 	86.0000,	0.00342,    0.29399,	17.02255
0.4200, 	0.1500, 	86.0000,	0.00359,    0.30866,	17.08466
0.4225, 	0.1525, 	86.0000,	0.00385,    0.33078,	17.15401
0.4250, 	0.1550, 	85.8630,	0.00405,    0.34776,	17.22872
0.4275, 	0.1575, 	85.7263,	0.00432,    0.37048,	17.30918
0.4300, 	0.1600, 	85.5899,	0.00454,    0.38861,	17.39388
0.4325, 	0.1625, 	85.4537,	0.00485,    0.41466,	17.48139
0.4350, 	0.1650, 	85.3179,	0.00515,    0.43928,	17.57069
0.4375, 	0.1675, 	85.1824,	0.00544,    0.46324,	17.66124
0.4400, 	0.1700, 	85.0607,	0.00576,    0.48997,	17.75314
0.4425, 	0.1725, 	84.9256,	0.00614,    0.52161,	17.84686
0.4450, 	0.1750, 	84.7909,	0.00654,    0.55482,	17.94280
0.4475, 	0.1775, 	84.6565,	0.00690,    0.58399,	18.04121
0.4500, 	0.1800, 	84.5223,	0.00733,    0.61926,	18.14202
0.4525, 	0.1825, 	84.3884,	0.00770,    0.64941,	18.24479
0.4550, 	0.1850, 	84.2548,	0.00805,    0.67851,	18.34891
0.4575, 	0.1875, 	84.1215,	0.00848,    0.71314,	18.45378
0.4600, 	0.1900, 	83.9884,	0.00891,    0.74795,	18.55888
0.4625, 	0.1925, 	83.8556,	0.00937,    0.78579,	18.66446
0.4650, 	0.1950, 	83.7231,	0.00979,    0.81964,	18.77098
0.4675, 	0.1975, 	83.5908,	0.01029,    0.86024,	18.87692
0.4700, 	0.2000, 	83.4588,	0.01084,    0.90460,	18.98237
0.4725, 	0.2025, 	83.3271,	0.01132,    0.94302,	19.08753
0.4750, 	0.2050, 	83.1956,	0.01189,    0.98889,	19.19257
0.4775, 	0.2075, 	83.0644,	0.01243,    1.03288,	19.29764
0.4800, 	0.2100, 	82.9334,	0.01308,    1.08450,	19.40288
0.4825, 	0.2125, 	82.8027,	0.01365,    1.13013,	19.50840
0.4850, 	0.2150, 	82.6722,	0.01425,    1.17818,	19.61427
0.4875, 	0.2175, 	82.5420,	0.01476,    1.21851,	19.72055
0.4900, 	0.2200, 	82.4121,	0.01543,    1.27159,	19.82727
0.4925, 	0.2225, 	82.2824,	0.01597,    1.31434,	19.93438
0.4950, 	0.2250, 	82.1529,	0.01667,    1.36944,	20.04178
0.4975, 	0.2275, 	82.0237,	0.01732,    1.42087,	20.14932
0.5000, 	0.2300, 	81.9076,	0.01808,    1.48116,	20.25696
0.5025, 	0.2325, 	81.7918,	0.01869,    1.52849,	20.36461
0.5050, 	0.2350, 	81.6761,	0.01944,    1.58755,	20.47211
0.5075, 	0.2375, 	81.5606,	0.02019,    1.64707,	20.57937
0.5100, 	0.2400, 	81.4453,	0.02098,    1.70871,	20.68628
0.5125, 	0.2425, 	81.3302,	0.02175,    1.76870,	20.79275
0.5150, 	0.2450, 	81.2152,	0.02259,    1.83487,	20.89873
0.5175, 	0.2475, 	81.1005,	0.02342,    1.89925,	21.00415
0.5200, 	0.2500, 	80.9859,	0.02425,    1.96401,	21.10899
0.5225, 	0.2525, 	80.8715,	0.02512,    2.03186,	21.21321
0.5250, 	0.2550, 	80.7572,	0.02592,    2.09283,	21.31680
0.5275, 	0.2575, 	80.6432,	0.02698,    2.17553,	21.41976
0.5300, 	0.2600, 	80.5166,	0.02782,    2.23969,	21.52210
0.5325, 	0.2625, 	80.4029,	0.02882,    2.31737,	21.62377
0.5350, 	0.2650, 	80.2767,	0.02968,    2.38234,	21.72483
0.5375, 	0.2675, 	80.1634,	0.03069,    2.46010,	21.82523
0.5400, 	0.2700, 	80.0376,	0.03157,    2.52665,	21.92503
0.5425, 	0.2725, 	79.9247,	0.03269,    2.61269,	22.02419
0.5450, 	0.2750, 	79.7993,	0.03362,    2.68275,	22.12275
0.5475, 	0.2775, 	79.6867,	0.03476,    2.77010,	22.22067
0.5500, 	0.2800, 	79.5617,	0.03576,    2.84526,	22.31801
0.5525, 	0.2825, 	79.4494,	0.03691,    2.93271,	22.41471
0.5550, 	0.2850, 	79.3248,	0.03788,    3.00518,	22.51081
0.5575, 	0.2875, 	79.2129,	0.03908,    3.09558,	22.60627
0.5600, 	0.2900, 	79.1011,	0.04015,    3.17560,	22.70112
0.5625, 	0.2925, 	78.9895,	0.04137,    3.26766,	22.79535
0.5650, 	0.2950, 	78.8656,	0.04253,    3.35429,	22.88895
0.5675, 	0.2975, 	78.7543,	0.04374,    3.44461,	22.98189
0.5700, 	0.3000, 	78.6431,	0.04483,    3.52548,	23.07417
0.5725, 	0.3025, 	78.5321,	0.04611,    3.62117,	23.16576
0.5750, 	0.3050, 	78.4213,	0.04735,    3.71323,	23.25667
0.5775, 	0.3075, 	78.3106,	0.04867,    3.81151,	23.34690
0.5800, 	0.3100, 	78.2000,	0.04997,    3.90764,	23.43646
0.5825, 	0.3125, 	78.0896,	0.05133,    4.00835,	23.52536
0.5850, 	0.3150, 	77.9670,	0.05268,    4.10721,	23.61362
0.5875, 	0.3175, 	77.8569,	0.05407,    4.20944,	23.70120
0.5900, 	0.3200, 	77.7469,	0.05540,    4.30683,	23.78815
0.5925, 	0.3225, 	77.6370,	0.05688,    4.41582,	23.87447
0.5950, 	0.3250, 	77.5273,	0.05825,    4.51620,	23.96016
0.5975, 	0.3275, 	77.4177,	0.05980,    4.62972,	24.04524
0.6000, 	0.3300, 	77.3083,	0.06137,    4.74447,	24.12972
0.6025, 	0.3325, 	77.1989,	0.06288,    4.85459,	24.21360
0.6050, 	0.3350, 	77.0776,	0.06449,    4.97055,	24.29689
0.6075, 	0.3375, 	76.9685,	0.06597,    5.07752,	24.37957
0.6100, 	0.3400, 	76.8474,	0.06758,    5.19303,	24.46168
